nhi,first_names,last_names,date_of_birth,date_of_death,birth_gender,gender,blood_type,height,weight,street_number,street_name,neighborhood,city,region,zip_code,country,birth_country,home_number,mobile_number,email
AEK6118,Dietrich,Schwander,10/16/1929,12/30/2015,Male,Male,AB+,170,99,1759,Maple,Leshukonskoye,Geraldine,Canterbury,6061,NZ,NZ,09 741 3185,029 300 5542,dschwanderm@wunderground.com
AHW4870,Nance,Durant,8/04/1948,,Female,Female,B+,152,115,822,Macpherson,Sfax,Rotorua,Bay  of Plenty,9491,NZ,NZ,09 784 7786,025 137 2996,ndurantn@livejournal.com
AUE6088,Cheri,Segge,9/10/1991,08/24/2013,Female,Female,O+,181,72,1158,Graceland,San Pascual,Porirua,Wellington,7425,NZ,NZ,09 568 5030,021 119 4144,cseggeo@patch.com
AXG5642,Anjanette,Legonidec,7/06/1971,08/22/2016,Female,Female,B-,167,106,2127,Graceland,San Diego,Christchurch,Canterbury,1185,NZ,NZ,09 587 2606,020 854 1323,alegonidecp@deliciousdays.com
ADH2232,Cullin,Dawson,09/18/1930,,Male,Male,AB-,174,95,1787,Prairie Rose,Villa Dolores,Christchurch,Canterbury,6417,NZ,NZ,08 485 8563,028 025 9555,cdawsonq@sfgate.com
AEC8674,Howie,Boerderman,3/12/1998,03/30/2013,Male,Male,B-,202,68,1010,Holy Cross,Glinojeck,Upper Hutt,Wellington,6458,NZ,NZ,06 457 2365,029 648 9928,hboerdermanr@topsy.com
ASP0859,Ronica,Pack,11/25/1950,,Female,Female,AB-,160,103,2793,Bonner,Uhniv,Invercargill,Southland,7343,NZ,NZ,09 755 3742,027 893 5827,rpacks@bbb.org
AYJ5045,Jamil,Gladdis,5/11/1956,,Male,Male,O+,173,100,859,Burrows,Hucheng,Whangarei,Northland,6354,NZ,NZ,09 788 7158,022 668 5533,jgladdist@exblog.jp
AMP4614,Kathe,Scutt,3/10/1930,,Female,Female,B-,150,54,978,Norway Maple,Xiting,Darfield,Canterbury,9743,NZ,NZ,09 409 8250,022 791 6434,kscuttu@tamu.edu
AXC3954,Cherey,Eunson,11/25/1932,,Female,Female,A-,208,60,1540,East,Roma,Dunedin,Otago,8209,NZ,NZ,07 447 7643,021 036 8025,ceunsonv@cisco.com
AAU8527,Emanuel,Szubert,08/17/1925,,Male,Male,AB+,202,116,1930,Mcguire,Syrostan,Dunedin,Otago,3642,NZ,NZ,07 751 8147,020 928 3945,eszubertw@constantcontact.com
AVA1683,Constantia,Avrahm,7/09/1987,,Female,Female,A+,161,71,727,Springs,Fengdian,Dunedin,Otago,8220,NZ,NZ,08 784 1145,023 974 0216,cavrahmx@archive.org
AMF7696,Germaine,Hylton,2/02/1920,,Female,Female,B+,162,72,396,Crowley,Sanying,Invercargill,Southland,8823,NZ,NZ,05 725 6437,020 983 5321,ghyltony@drupal.org
AAM2022,Kerwinn,Belmont,9/12/1982,,Male,Male,A+,161,111,722,Mesta,Tilburg,Christchurch,Canterbury,2263,NZ,NZ,09 274 5992,023 023 9308,kbelmontz@xinhuanet.com
ALX3255,Artair,Chumley,11/24/1964,,Male,Male,O-,197,55,1811,Butternut,Beltinci,Oxford,Canterbury,4943,NZ,NZ,09 787 9371,024 484 0891,achumley10@upenn.edu
ABF1167,Wyndham,Wewell,09/18/1962,,Male,Male,B+,150,109,1912,Manley,Xincun,Takaka,Tasman,9015,NZ,NZ,09 565 3358,022 362 1784,wwewell11@imdb.com
AMA0745,Barbee,Burges,02/18/1941,,Female,Female,O-,198,94,501,Russell,Fāraskūr,Porirua,Wellington,2572,NZ,NZ,08 785 8763,020 817 5901,bburges12@princeton.edu
AQX2189,Hirsch,Wyldbore,09/17/1986,,Male,Male,O-,207,69,1318,Surrey,Madrid,Lower Hutt,Wellington,7388,NZ,NZ,08 789 0875,026 015 5879,hwyldbore13@sakura.ne.jp
AMU6824,Zach,Sames,4/04/1968,,Male,Male,A-,157,50,642,Hoepker,Lökbatan,Hamilton,Waikato,3779,NZ,NZ,09 540 3655,022 771 2570,zsames14@hhs.gov
APN2833,Ruth,Morby,6/01/1972,,Female,Female,B-,174,87,2867,Erie,Marčelji,Hastings,Hawke's Bay,2973,NZ,NZ,09 742 0339,021 987 8363,rmorby15@bbb.org
ATS1839,Reube,Delap,05/22/1992,,Male,Male,A-,183,60,1054,Eliot,Qijiazuo,Tauranga,Bay of Plenty,4112,NZ,NZ,09 289 1245,023 677 7052,rdelap16@ocn.ne.jp
AFY9041,Nils,Sheardown,9/09/1950,,Male,Male,AB-,173,93,2903,Nova,Foča,Lower Hutt,Wellington,5334,NZ,NZ,09 585 3136,027 075 6992,nsheardown17@narod.ru
AYF4063,Prudy,Tommen,03/20/1974,,Female,Female,B-,186,82,548,Larry,Grindavík,Porirua,Wellington,1172,NZ,NZ,09 554 7466,020 072 8096,ptommen18@stumbleupon.com
AFP4606,Em,Scandroot,06/19/1933,,Female,Female,O+,183,72,1614,Schmedeman,Asbestos,Invercargill,Southland,2510,NZ,NZ,09 514 3729,022 353 9554,escandroot19@npr.org
APV2409,Ferdinanda,Clerk,04/24/1935,,Female,Female,A-,175,70,341,Waxwing,Lubenec,Brightwater,Tasman,1740,NZ,NZ,06 786 6058,026 696 9092,fclerk1a@home.pl
APK4982,Errol,Delucia,03/22/1924,3/07/2017,Male,Male,AB+,177,74,2366,Morrow,Quibdó,Lincoln,Canterbury,5512,NZ,NZ,09 719 4621,028 812 1067,edelucia1b@zimbio.com
APQ5970,Pietrek,Elks,01/17/1994,,Male,Male,A+,154,107,1989,Burning Wood,Arcos,Dunedin,Otago,6278,NZ,NZ,09 717 2244,024 492 8097,pelks1c@e-recht24.de
AAR9596,Nerita,de Mullett,04/20/1970,,Female,Female,O+,181,71,939,Golf View,Montonggamang,Upper Hutt,Wellington,4599,NZ,NZ,08 501 4453,026 630 3835,ndemullett1d@sakura.ne.jp
AZA1728,Rowney,Dabels,03/26/1936,,Male,Male,B-,208,119,2098,Dwight,Slatina,Whangarei,Northland,5738,NZ,NZ,09 753 5635,022 829 6657,rdabels1e@discuz.net
AFP9169,Smith,Labbez,11/16/1958,,Male,Male,A-,153,74,71,Shopko,Tasīl,Auckland,Auckland,1366,NZ,NZ,06 716 7153,025 740 5950,slabbez1f@a8.net
APN4483,Aurthur,Vasyutochkin,1/11/1977,,Male,Male,A-,206,55,1538,Cottonwood,Mādārīpur,Whangarei,Northland,7854,NZ,NZ,08 750 5624,027 867 7843,avasyutochkin1g@yahoo.co.jp
ASM7292,Louie,Beseke,9/01/1995,,Male,Male,A+,183,81,1228,Valley Edge,Paradise,Rotorua,Bay  of Plenty,1558,NZ,NZ,08 792 4647,024 442 6693,lbeseke1h@google.co.jp
ANW8683,Pieter,Derell,05/26/1995,,Male,Male,O+,163,67,2963,Dorton,Qiansuo,Tauranga,Bay of Plenty,5825,NZ,NZ,07 741 4091,028 938 5245,pderell1i@yelp.com
ABG0786,Fonz,Bacup,05/20/1958,,Male,Male,O-,151,102,824,Drewry,San Jose,Lincoln,Canterbury,4957,NZ,NZ,09 226 8077,026 742 0692,fbacup1j@instagram.com
AQH4211,Jasper,Zorzetti,10/22/1955,11/24/2016,Male,Female,A+,206,114,1692,Twin Pines,San Antonio,Napier,Hawke's Bay,6614,NZ,NZ,09 594 1558,020 618 3432,jzorzetti1k@tmall.com
ABA5856,Violette,Hammett,07/23/1973,,Female,Female,B+,193,73,1903,Calypso,Cukangpanjang,Motueka,Tasman,3815,NZ,NZ,07 401 3424,021 298 7120,vhammett1l@usgs.gov
AAJ3628,Muffin,Hatliff,03/27/1950,,Female,Female,B+,202,112,1513,Kropf,Quvasoy,Lincoln,Canterbury,9801,NZ,NZ,08 559 5131,028 860 7208,mhatliff1m@ucla.edu
ALH2267,Cly,Korlat,05/27/1917,,Male,Male,B+,150,54,2937,Westridge,Harstad,Oxford,Canterbury,9519,NZ,NZ,09 524 1744,023 850 5471,ckorlat1n@nhs.uk
AYJ9942,Aube,Tussaine,11/15/1926,,Male,Male,A+,192,103,1249,School,Rio Covo,New Plymouth,Taranaki,2748,NZ,NZ,09 799 0929,021 664 6888,atussaine1o@nature.com
AVP7077,Nata,Southgate,05/13/2005,,Female,Female,AB+,202,82,2769,Eastlawn,Stockholm,Dunedin,Otago,9695,NZ,NZ,06 479 5579,028 138 1491,nsouthgate1p@wired.com
AZD0980,Claudette,McKleod,12/21/1967,,Female,Female,AB+,170,109,1060,Hollow Ridge,Paiçandu,Gisborne,Gisborne,6093,NZ,NZ,09 717 5600,026 242 4324,cmckleod1q@huffingtonpost.com
AEN8657,Abbott,Schultheiss,10/27/1957,,Male,Male,B-,205,93,117,Stephen,Fagersta,Nelson,Nelson,3410,NZ,NZ,04 795 6336,023 399 3437,aschultheiss1r@theguardian.com
ALK6534,Drucill,Edridge,7/02/1962,,Female,Female,AB-,160,105,189,Springs,Growong Lor,Lower Hutt,Wellington,9965,NZ,NZ,01 770 8219,024 517 7549,dedridge1s@china.com.cn
ASQ0705,Dagny,Tennewell,2/11/1984,4/03/2015,Male,Male,O-,199,73,1098,Leroy,Kambatatamakawu,Invercargill,Southland,8932,NZ,NZ,09 783 1713,021 037 8326,dtennewell1t@list-manage.com
APQ5098,Boniface,Pluthero,6/11/1968,,Male,Male,O+,196,108,1975,Browning,Lingxi,Oxford,Canterbury,4688,NZ,NZ,09 701 4845,022 663 5939,bpluthero1u@123-reg.co.uk
AAW0667,Moyra,Huske,03/15/1928,,Female,Female,O-,162,89,2257,Vidon,Odemira,Motueka,Tasman,4556,NZ,NZ,07 506 6113,021 347 7278,mhuske1v@moonfruit.com
ARL8008,Kara-lynn,Guilleton,11/27/2003,,Female,Female,B+,154,108,1947,Bobwhite,Hobaramachi,Rotorua,Bay  of Plenty,8044,NZ,NZ,07 463 7796,029 194 4507,kguilleton1w@unesco.org
AND5503,Egor,Kelley,12/06/1963,,Male,Male,B+,163,88,9,Merry,Zarszyn,Palmerston North,Manawatu-Wanganui,6611,NZ,NZ,09 764 2365,028 303 1124,ekelley1x@aol.com
AEW0156,Justina,Yoxall,12/10/1944,9/09/2012,Female,Female,A-,159,51,786,Riverside,Hegarmanah,Wellington,Wellington,7024,NZ,NZ,08 762 7520,021 812 3507,jyoxall1y@hubpages.com
ACY9295,Babbie,Bridden,5/12/1948,,Female,Female,B+,170,115,612,Hallows,Gongyi,Gisborne,Gisborne,5211,NZ,NZ,09 722 0571,025 296 0546,bbridden1z@mashable.com
AHA0901,Duncan,Statersfield,7/06/1956,04/29/2018,Male,Male,A+,202,73,2929,Utah,Faleula,Oxford,Canterbury,3143,NZ,NZ,07 214 6201,027 678 4722,dstatersfield20@meetup.com
APC3989,Alexandre,McGawn,01/22/1986,,Male,Male,A+,184,95,2183,Spohn,Ashkāsham,Hamilton,Waikato,3457,NZ,NZ,07 794 1675,020 482 4769,amcgawn21@dot.gov
ADZ3815,Heinrik,Brager,07/23/1919,,Male,Male,O-,182,111,904,Namekagon,Russkiy,Whangarei,Northland,6704,NZ,NZ,09 743 9065,026 990 4048,hbrager22@ed.gov
AMT4779,Winnifred,Godfroy,07/16/1919,,Female,Male,AB+,188,55,1439,Fordem,Caxito,Oxford,Canterbury,3937,NZ,NZ,08 506 2416,024 027 9803,wgodfroy23@pbs.org
ASE0616,Trudie,Fewell,10/08/1921,08/28/2015,Female,Female,AB-,184,116,2706,Buena Vista,Sipoholon,Auckland,Auckland,2411,NZ,NZ,09 702 5765,029 317 3213,tfewell24@wunderground.com
AQS3855,Amelina,Goldine,09/14/1940,,Female,Female,AB+,194,87,1903,John Wall,Yushan,Gisborne,Gisborne,3753,NZ,NZ,06 768 6573,021 306 7836,agoldine25@behance.net
AYL0765,Cesaro,Wonfar,12/04/1980,04/23/2012,Male,Male,AB+,190,88,1869,Banding,Mikhaylov,Whangarei,Northland,3812,NZ,NZ,08 781 2853,023 816 3688,cwonfar26@forbes.com
AHT3766,Hamilton,Moar,11/12/1919,,Male,Male,A-,154,105,148,Johnson,Petaluma,Nelson,Nelson,7979,NZ,NZ,05 432 7086,021 119 5643,hmoar27@pbs.org
Apr-44,Sharron,Molines,06/23/1940,,Female,Female,B+,171,73,1692,Fisk,Tianxingchang,Invercargill,Southland,8674,NZ,NZ,09 510 3821,025 529 6890,smolines28@nbcnews.com
ANL1366,Jojo,Pawson,3/06/1998,11/15/2017,Female,Female,B+,179,102,1958,Banding,Borodinskiy,Christchurch,Canterbury,7776,NZ,NZ,09 566 6718,022 426 0202,jpawson29@kickstarter.com
APP6651,Georgianne,Kleinhaus,08/25/1950,,Female,Female,B-,158,88,1076,Hagan,Norrköping,Motueka,Tasman,4091,NZ,NZ,09 553 0438,027 376 6558,gkleinhaus2a@wufoo.com
AZN2709,Lizzie,Pydcock,8/07/1986,,Female,Female,O+,162,98,1507,Warbler,Jos,Napier,Hawke's Bay,6240,NZ,NZ,09 714 6636,024 590 5179,lpydcock2b@icio.us
ADQ2851,Stacee,Kubica,6/08/1943,8/11/2014,Male,Male,A-,156,90,2343,Dexter,Oropesa,Dunedin,Otago,4278,NZ,NZ,09 752 3611,028 092 0048,skubica2c@squarespace.com
APZ2668,Benoit,Gussin,9/08/1975,09/29/2017,Male,Male,A+,162,91,271,Doe Crossing,Bangkalan,Upper Hutt,Wellington,9411,NZ,NZ,09 409 2874,020 997 2345,bgussin2d@usnews.com
ANS1747,Emmalyn,Luquet,6/01/1938,,Female,Female,A-,197,87,1803,Cardinal,Igarapava,Hamilton,Waikato,3921,NZ,NZ,09 438 4865,022 149 8732,eluquet2e@ustream.tv
APX2572,Benita,Haldenby,4/03/1978,,Female,Female,AB+,205,95,1457,Washington,Stepnogorsk,Gisborne,Gisborne,2880,NZ,NZ,09 524 8180,021 712 3703,bhaldenby2f@foxnews.com
AMP5950,Dania,Bloor,05/21/1924,,Female,Female,B-,166,113,1754,Macpherson,Lunéville,Oxford,Canterbury,3985,NZ,NZ,09 782 5837,022 631 8373,dbloor2g@howstuffworks.com
ANY2519,Willetta,Brister,05/29/1979,,Female,Female,B+,203,112,1323,Mosinee,Providence,Motueka,Tasman,8729,NZ,NZ,09 390 7492,024 841 6721,wbrister2h@friendfeed.com
AKM9508,Roobbie,Booth-Jarvis,9/11/1964,,Female,Female,O+,182,59,706,Darwin,Göteborg,Tauranga,Bay of Plenty,3751,NZ,NZ,09 472 7448,021 067 5267,rboothjarvis2i@pagesperso-orange.fr
ATV2709,Perl,Hatto,10/07/1926,,Female,Female,A-,164,53,729,Dunning,Tanguiéta,Whangarei,Northland,4639,NZ,NZ,09 705 5925,024 647 5389,phatto2j@un.org
ARD3718,Bradley,Pitcaithley,01/14/2004,10/13/2014,Male,Male,AB-,207,94,1405,Waubesa,Changjiang,Invercargill,Southland,7226,NZ,NZ,09 778 9878,026 505 1765,bpitcaithley2k@delicious.com
AUM4170,Venita,Pleace,8/01/1929,,Female,Female,A-,185,78,1200,Debs,Kyrenia,Tauranga,Bay of Plenty,4271,NZ,NZ,08 294 4767,020 988 8450,vpleace2l@behance.net
AKQ5713,Teddy,Wightman,10/28/1951,5/09/2016,Male,Male,AB+,184,81,2601,Ronald Regan,Pshekhskaya,Whangarei,Northland,9851,NZ,NZ,07 745 5940,020 215 9282,twightman2m@angelfire.com
AUT7319,Jobey,Over,1/01/1938,,Female,Female,AB-,190,114,123,Granby,Hejiabao,Porirua,Wellington,2087,NZ,NZ,08 747 4191,026 027 6915,jover2n@independent.co.uk
ACU7023,Mickey,Danilchenko,5/05/1969,,Male,Male,O-,187,73,911,Pearson,Sumberjeruk,Nelson,Nelson,3151,NZ,NZ,09 250 0524,024 678 1857,mdanilchenko2o@trellian.com
ART2858,Alair,Backshill,8/04/1938,,Male,Male,A-,191,120,1646,Bobwhite,Cishan,Rotorua,Bay  of Plenty,8976,NZ,NZ,08 545 7282,028 586 8149,abackshill2p@printfriendly.com
APN0563,Kerr,Grewer,11/20/2001,,Male,Female,B+,207,60,1330,Fairview,Hetou,Lower Hutt,Wellington,3372,NZ,NZ,09 782 7073,023 756 0703,kgrewer2q@gnu.org
AME6401,Angela,Kingsland,3/12/1940,,Female,Female,B+,161,118,2491,Maywood,Skene,Lincoln,Canterbury,4512,NZ,NZ,08 591 3846,026 581 9488,akingsland2r@cpanel.net
AJU8057,Chrystal,Tooth,11/03/1988,,Female,Female,B+,186,75,2195,West,Stari Banovci,Palmerston North,Manawatu-Wanganui,1463,NZ,NZ,09 444 8246,026 184 8653,ctooth2s@adobe.com
AQG5276,Delano,Galilee,4/04/2010,,Male,Male,B-,201,72,1102,Butterfield,Horní Stropnice,Palmerston North,Manawatu-Wanganui,4676,NZ,NZ,08 463 4504,026 628 7412,dgalilee2t@last.fm
AXU0981,Gus,Beauvais,11/01/1939,,Male,Male,B+,210,100,2820,Mayer,Putina,Tauranga,Bay of Plenty,8389,NZ,NZ,09 559 9696,020 803 8255,gbeauvais2u@gravatar.com
AMF5260,Bridgette,Ingram,05/13/1946,,Female,Female,B-,181,94,2275,Waubesa,Senj,Porirua,Wellington,4757,NZ,NZ,09 288 6167,027 757 3971,bingram2v@last.fm
AJW0809,Jerrilee,Wintersgill,10/21/1959,,Female,Female,B+,186,118,1562,Golf Course,Megati Kelod,Tauranga,Bay of Plenty,7574,NZ,NZ,06 796 1176,025 668 6774,jwintersgill2w@japanpost.jp
APM0583,Casar,Edscer,10/26/1997,,Male,Male,O-,178,88,1206,Melby,Carodok,Dunedin,Otago,2026,NZ,NZ,09 581 9517,028 474 1977,cedscer2x@miibeian.gov.cn
ANZ0038,Nick,Aubury,6/02/1930,1/04/2012,Male,Male,B+,157,105,2703,Morningstar,Derbur,Tauranga,Bay of Plenty,1953,NZ,NZ,09 579 8927,026 522 5183,naubury2y@cornell.edu
AGD6879,Correy,Bonwick,09/14/1922,,Male,Male,O-,156,100,1284,Waubesa,Qindu,Brightwater,Tasman,7541,NZ,NZ,07 409 5594,026 083 5524,cbonwick2z@statcounter.com
AUL5744,Daveta,Flea,10/21/1944,,Female,Female,A-,175,55,1535,8th,Touying,Porirua,Wellington,2950,NZ,NZ,07 536 1435,028 409 6818,dflea30@bigcartel.com
ASM3373,Fanchette,Snugg,01/24/1975,,Female,Female,O+,169,103,2968,Bellgrove,Rora Timur,Christchurch,Canterbury,1873,NZ,NZ,07 770 2111,021 684 8594,fsnugg31@china.com.cn
AXK9278,Reube,Weson,10/24/1922,5/06/2016,Male,Male,O+,152,97,2421,Weeping Birch,Sokolniki,Brightwater,Tasman,5167,NZ,NZ,06 797 6557,022 424 3635,rweson32@nba.com
AWX8887,Darryl,Cerie,03/29/1958,,Male,Male,A-,187,118,1902,Bartelt,Parakanhonje Wetan,Whangarei,Northland,3531,NZ,NZ,09 734 7191,021 992 2726,dcerie33@yellowpages.com
AKU1714,Martie,Ricket,11/23/1992,,Male,Male,A+,154,103,516,Michigan,Tyoply Stan,Gisborne,Gisborne,8707,NZ,NZ,09 752 7235,026 275 2754,mricket34@blogspot.com
AXK4504,Danila,Ferrarini,12/23/1941,,Female,Female,B+,203,90,2423,Monica,Husów,Motueka,Tasman,5970,NZ,NZ,09 225 6232,020 733 0402,dferrarini35@phpbb.com
AMR5107,Hilary,Lowth,1/03/1932,,Female,Female,AB+,195,101,2540,Petterle,Kruengraya,Wellington,Wellington,1579,NZ,NZ,09 582 0476,023 622 4600,hlowth36@wordpress.org
AEB9825,Therese,Jouannin,3/03/1922,,Female,Female,O+,159,111,1945,Pine View,Leppävirta,Tauranga,Bay of Plenty,8933,NZ,NZ,07 411 1338,020 985 3358,tjouannin37@guardian.co.uk
AYK7134,Adaline,Jurs,05/18/1954,03/25/2015,Female,Female,AB-,193,91,651,Eastwood,Malabago,Dunedin,Otago,3454,NZ,NZ,07 739 7628,025 530 8573,ajurs38@nytimes.com
APF4552,Karel,McNelly,06/28/1960,,Male,Male,A-,169,70,1012,Golf View,Kamieniec,Invercargill,Southland,1404,NZ,NZ,08 565 6841,028 313 1975,kmcnelly39@ft.com
ASW2646,Hayes,Stoke,10/18/1979,11/20/2017,Male,Male,O-,151,120,2362,Scoville,Sainte-Luce-sur-Loire,New Plymouth,Taranaki,8103,NZ,NZ,05 589 4133,021 233 4285,hstoke3a@sogou.com
ANH5747,Mair,Piggins,6/09/2008,,Female,Female,A+,161,111,2566,Lindbergh,Balboa,Gisborne,Gisborne,6695,NZ,NZ,06 468 5585,021 808 7417,mpiggins3b@live.com
AST5617,Beverley,Goodsall,03/21/2003,,Female,Female,O-,153,59,96,South,Fangxi,Nelson,Nelson,6200,NZ,NZ,08 718 2034,024 405 3054,bgoodsall3c@scribd.com
AJD5207,Khalil,Cuzen,03/19/1926,,Male,Male,A-,165,68,16,Northland,Houston,Porirua,Wellington,8082,NZ,NZ,09 449 4657,025 712 2525,kcuzen3d@plala.or.jp
AXK9753,Tersina,Master,8/03/1946,,Female,Female,O+,184,101,2715,Crest Line,Pesnica pri Mariboru,Motueka,Tasman,4399,NZ,NZ,09 515 0008,020 863 5891,tmaster3e@walmart.com
AMR2268,Guillema,Cordelette,7/02/1941,,Female,Female,B-,174,97,1324,Hoard,Rancabuaya,Nelson,Nelson,9972,NZ,NZ,09 767 5624,024 292 1227,gcordelette3f@slashdot.org
AHX0083,Trueman,Cantor,4/07/1952,,Male,Male,A-,200,65,608,Corben,Weishui,Whanganui,Manawatu-Wanganui,8594,NZ,NZ,09 598 4360,023 679 2441,tcantor3g@virginia.edu
ACU6824,Elana,Heselwood,11/02/1981,,Female,Female,O-,181,65,167,Corry,Moreira de Geraz do Lima,Invercargill,Southland,7110,NZ,NZ,08 770 5290,025 419 0011,eheselwood3h@illinois.edu
AMW2454,Patience,Brazenor,7/12/1988,,Female,Female,AB-,159,66,1825,Nancy,Sritanjung,Takaka,Tasman,6258,NZ,NZ,06 215 9631,025 403 4647,pbrazenor3i@xrea.com
AWV8196,Lucias,Wloch,04/29/2007,,Male,Male,O-,150,100,2916,Carey,Gangu Chengguanzhen,Tauranga,Bay of Plenty,6190,NZ,NZ,09 513 2693,020 397 3071,lwloch3j@nydailynews.com
AFQ8710,Cynthie,Lightowlers,1/06/1922,,Female,Female,O-,172,102,221,Dayton,Xindong,Wellington,Wellington,7377,NZ,NZ,08 718 4233,021 040 5670,clightowlers3k@tiny.cc
